date,fullVisitorId,socialEngagementType,totals.hits,totals.pageviews,totals.timeOnSite,device.browser_woe,geoNetwork.country_woe,trafficSource.source_woe,totals.transactions,hits.eCommerceAction.action_type,hits.hour_ordinal,totals.newVisits,totals.bounces,channelGrouping_Direct,channelGrouping_Display,channelGrouping_Organic Search,channelGrouping_Paid Search,channelGrouping_Referral,channelGrouping_Social,trafficSource.medium_affiliate,trafficSource.medium_cpc,trafficSource.medium_cpm,trafficSource.medium_organic,trafficSource.medium_referral,trafficSource.isTrueDirect_code,device.operatingSystem_Android,device.operatingSystem_BlackBerry,device.operatingSystem_Chrome OS,device.operatingSystem_Firefox OS,device.operatingSystem_Linux,device.operatingSystem_Macintosh,device.operatingSystem_Nintendo Wii,device.operatingSystem_Samsung,device.operatingSystem_Windows,device.operatingSystem_Windows Phone,device.operatingSystem_Xbox,device.operatingSystem_iOS,device.deviceCategory_mobile,device.deviceCategory_tablet,Recency,Monetary,Frequency,buyers,repurchasers
2017-01-01,7424654781881934440,0,20,17.0,414.0,-1.2462255250575016,0.9473578084268521,-0.008708829583387423,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,5.0,1,1,0
2017-01-01,6129059309050021920,0,21,15.0,563.0,-1.2462255250575016,0.9473578084268521,-0.008708829583387423,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,28.0,2,1,0
2017-01-01,8722134795757149550,0,25,25.0,764.0,0.3034410764780771,0.9473578084268521,-0.008708829583387423,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,63.0,2,1,0
2017-01-01,7243174500774931832,0,25,23.0,608.0,0.3034410764780771,0.9473578084268521,-0.008708829583387423,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,31.0,1,1,0
2017-01-01,2265703789548596461,0,52,46.0,1113.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,44.6,1,1,0
2017-01-01,3725836239165941255,0,52,40.0,2402.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,79.2,1,1,0
2017-01-01,6165745649694489775,0,57,46.0,1309.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,433.1,3,1,1
2017-01-01,274035778263408429,0,59,53.0,2526.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,83.2,1,1,0
2017-01-01,2449425615576273633,0,60,44.0,1985.0,0.3034410764780771,0.9473578084268521,-0.008708829583387423,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,54.0,4,1,1
2017-01-01,4830211069912792009,0,74,52.0,2211.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,18.6,2,1,0
2017-01-01,810563443947477001,0,106,75.0,1401.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,153.5,2,1,0
2017-01-02,9205496322274361632,0,9,8.0,249.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,30.0,1,1,0
2017-01-02,8885678008062348404,0,10,10.0,455.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,65.0,1,1,0
2017-01-02,1702474213534153249,0,13,11.0,260.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,35.4,1,1,0
2017-01-02,840275515214055415,0,14,12.0,327.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,32.2,1,1,0
2017-01-02,7517997316226476864,0,15,15.0,449.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,46.8,4,1,1
2017-01-02,789905443393425189,0,18,17.0,388.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,14.2,1,1,0
2017-01-02,5701006754406166040,0,18,16.0,1222.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,43.0,1,1,0
2017-01-02,1531412460891558131,0,19,19.0,674.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,40.0,1,1,0
2017-01-02,9523142287027067833,0,21,20.0,2469.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,49.8,3,1,1
2017-01-02,8455273438163563940,0,27,22.0,991.0,-0.5411059433753266,0.9473578084268521,0.20414658317317635,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,29,41.0,1,1,0
2017-01-02,1413300845517352724,0,28,21.0,301.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,134.4,3,1,0
2017-01-02,1582753362351351109,0,30,24.0,596.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,17.4,1,1,0
2017-01-02,891856926182569230,0,34,27.0,748.0,0.3034410764780771,-0.43549773296623645,0.6005773508730065,1.0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,26.0,1,1,0
2017-01-02,7708630394810651470,0,47,38.0,752.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,34.0,1,1,0
2017-01-02,1555076387153706787,0,53,47.0,1822.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,29,18.0,4,1,1
2017-01-02,85057281729508802,0,60,45.0,876.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,39.4,1,1,0
2017-01-02,8386561909318064795,0,60,46.0,593.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,21.2,1,1,0
2017-01-02,8197879643797712877,0,94,70.0,1783.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,340.1,6,1,1
2017-01-03,522359013237328012,0,10,10.0,917.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,96.0,2,1,1
2017-01-03,6179415313155508546,0,14,13.0,325.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,22.6,2,1,1
2017-01-03,963205524675368812,0,16,14.0,578.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,57.0,2,1,0
2017-01-03,7385533995680230366,0,21,19.0,744.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,24.0,1,1,0
2017-01-03,528933380496819911,0,22,18.0,477.0,0.3034410764780771,0.9473578084268521,0.6005773508730065,1.0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,28.2,1,1,0
