fullVisitorId,Recency,Monetary,Frequency,buyers
35794135966385,11,0.0,1,0
152474579038632,100,0.0,1,0
166465265517759,162,0.0,1,0
203740953483192,70,0.0,1,0
221538522301438,50,0.0,1,0
303365548905658,110,0.0,1,0
348832906142419,112,0.0,1,0
435324061339869,103,46.8,1,1
492304057672860,76,0.0,1,0
505002995381479,154,0.0,1,0
514359656957582,50,0.0,1,0
526901070787887,118,0.0,1,0
585708896049892,41,46.0,1,1
586151686079708,139,0.0,1,0
619800644573034,48,0.0,1,0
632147669274133,130,0.0,1,0
641787877778885,26,0.0,1,0
679030251760221,138,0.0,1,0
696790665307308,5,0.0,1,0
715618507921504,93,0.0,1,0
733700011430955,170,0.0,1,0
747826597354430,51,0.0,1,0
769337097797908,91,0.0,1,0
775897351064931,56,0.0,1,0
781936028898632,104,0.0,1,0
817516294033685,61,0.0,1,0
939554220415475,44,0.0,1,0
964430794801128,159,0.0,1,0
1021441165436156,169,0.0,1,0
1029469340898033,64,0.0,1,0
1099765044765872,112,0.0,1,0
1123528056036404,50,99.0,1,1
1159055818603413,42,0.0,1,0
1205461456496361,175,0.0,1,0
1277385672710758,27,0.0,1,0
1363886612345162,122,0.0,4,0
1459455618502072,72,0.0,1,0
1511636700662555,147,0.0,1,0
1532222194085150,113,0.0,1,0
1535344371041293,103,0.0,1,0
1569695207723209,58,0.0,1,0
1636522687991766,60,0.0,1,0
1671621793132929,57,0.0,1,0
1734564956812899,113,0.0,1,0
1773027863872937,77,0.0,1,0
1810113306100187,111,0.0,1,0
1905118576359487,106,22.2,1,1
1931042590128825,170,0.0,1,0
1960337656851524,82,0.0,1,0
1999381797667559,82,0.0,1,0
2039805699643561,62,0.0,2,0
2100309580179179,169,0.0,1,0
2141771093125260,177,0.0,1,0
2161201390705647,133,0.0,1,0
2241877647391783,117,0.0,1,0
2319543146093336,115,0.0,1,0
2473365153362038,51,0.0,1,0
2485898557783213,85,0.0,1,0
2509541586077471,53,0.0,1,0
2527528149176601,60,18.0,1,1
2542590632105511,78,0.0,1,0
2591135526102361,158,0.0,1,0
2645346357549080,57,0.0,1,0
2647691551081600,62,0.0,1,0
2709834583138581,46,10.0,1,1
2731732610951078,174,0.0,1,0
2739403077668075,64,0.0,1,0
2769065848132218,45,0.0,1,0
2776887271474949,95,0.0,1,0
2803416660677643,33,0.0,1,0
2809973619748171,95,0.0,1,0
2838359588704338,176,20.1,1,1
2844923710836525,76,0.0,1,0
2871498069867123,161,97.4,1,1
2876602556568971,112,0.0,1,0
2892501768908352,35,0.0,1,0
2922339331163388,60,0.0,1,0
2924823071769499,50,0.0,1,0
2932702307477773,140,0.0,1,0
2953262328405994,83,0.0,1,0
2978953851937056,60,0.0,1,0
3038010493412298,38,156.0,1,1
3039883198289934,153,0.0,1,0
3048345911092526,61,0.0,1,0
3130024474361102,177,0.0,1,0
3181830622278694,40,0.0,1,0
3249301509520744,63,0.0,1,0
3252704902549298,88,0.0,2,0
3283219311803604,108,0.0,1,0
3368509428298343,70,0.0,1,0
3441215488628388,129,0.0,1,0
3450834640354121,104,60.0,2,1
3520120824829275,160,0.0,1,0
3581170539635700,37,0.0,2,0
3586717489962838,14,0.0,1,0
3600220285031313,96,0.0,1,0
3612272779491805,110,0.0,1,0
3630383705497929,98,0.0,1,0
3753027859563922,117,0.0,1,0
3821813583062341,117,0.0,1,0
3838741263791887,107,0.0,1,0
3842812309646950,40,0.0,1,0
3845779632585964,137,0.0,1,0
4008894778629011,43,0.0,1,0
4059767158248081,100,0.0,1,0
4069363679410919,15,0.0,1,0
4077215585200500,26,0.0,1,0
4162391879499854,160,0.0,1,0
4225046177085131,75,0.0,1,0
4231285837762453,60,0.0,1,0
4254212912268013,106,0.0,1,0
4323079559348536,95,0.0,2,0
4344289109575179,158,0.0,1,0
4346215508564609,57,0.0,1,0
4398024026860116,64,0.0,1,0
4401382581757781,183,0.0,1,0
4402061777814721,176,0.0,1,0
4480045903003917,144,0.0,1,0
4529389398211233,75,0.0,1,0
4541329527285376,120,0.0,1,0
4613036452965923,87,0.0,1,0
4638983005167591,24,64.0,2,1
4761680464282520,182,0.0,1,0
4775255221053590,49,0.0,1,0
4790272088313216,167,0.0,1,0
4799221942618753,52,0.0,1,0
4800809298418973,177,0.0,1,0
4808628408930227,161,0.0,1,0
4868452367846670,163,136.6,2,1
4898762723727844,81,0.0,1,0
4915654915252005,119,0.0,1,0
4974544728701516,78,0.0,1,0
5121515673344846,93,0.0,1,0
5126676742816463,144,0.0,1,0
5147921848306179,90,0.0,1,0
5155563638913964,98,0.0,1,0
5302128204866539,123,0.0,1,0
